bnf_key,bnf_code_branded,bnf_name_branded,drug_dressing_appliances_branded,form_branded,dosage_branded,chem_name_branded,nic_sum_branded,items_sum_branded,nic_per_item_branded,bnf_code_generic,bnf_name_generic,drug_dressing_appliances_generic,form_generic,dosage_generic,chem_name_generic,nic_sum_generic,items_sum_generic,nic_per_item_generic,diff_branded_to_generic
1003020W0AB,1003020W0BBAAAB,Movelat_Crm,Movelat,Crm,NA,Heparinoid,2545.26,292,8.71664383561644,1003020W0AAABAB,Salicylic Acid/Mucopolysac_Crm 2%/0.2%,Salicylic Acid/Mucopolysac,Crm,2%/0.2%,Heparinoid,697.4300000000001,91,7.664065934065935,1.0525779015505048
0407020Q0CG,0407020Q0BBAKCG,MST Continus_Tab 5mg,MST Continus,Tab,5mg,Morphine Sulfate,739.67,291,2.5418213058419243,0407020Q0AACGCG,Morph Sulf_Tab 5mg M/R,Morph Sulf,Tab,5mg M/R,Morphine Sulfate,923.75,323,2.859907120743034,-0.31808581490110965
0803042K0AB,0803042K0BBABAB,Zoladex LA_Implant 10.8mg SafeSystem Pfs,Zoladex LA,Implant,10.8mg SafeSystem Pfs,Goserelin Acetate,69325,291,238.23024054982818,0803042K0AAABAB,Goserelin Acet_Implant 10.8mg Pfs,Goserelin Acet,Implant,10.8mg Pfs,Goserelin Acetate,49585,207,239.54106280193236,-1.310822252104174
0212000B0AA,0212000B0BBAAAA,Lipitor_Tab 10mg,Lipitor,Tab,10mg,Atorvastatin,4433,288,15.39236111111111,0212000B0AAAAAA,Atorvastatin_Tab 10mg,Atorvastatin,Tab,10mg,Atorvastatin,20044.31,25791,0.7771823504323214,14.61517876067879
1003020U0AI,1003020U0BBADAI,Voltarol 12 Hour Emulgel P_Gel 2.32%,Voltarol 12 Hour Emulgel P,Gel,2.32%,Diclofenac Sodium,3353.56,288,11.644305555555555,1003020U0AAAIAI,Diclofenac Sod_Gel 2.32%,Diclofenac Sod,Gel,2.32%,Diclofenac Sodium,11119.87,988,11.254929149797572,0.38937640575798227
0206020C0AV,0206020C0BIABAV,Slozem 180_Cap 180mg,Slozem 180,Cap,180mg,Diltiazem Hydrochloride,2928.9,286,10.240909090909092,0206020C0AAAVAV,Diltiazem HCl_Cap 180mg M/R,Diltiazem HCl,Cap,180mg M/R,Diltiazem Hydrochloride,2976.2599999999998,223,13.346457399103137,-3.105548308194045
0703021Q0AA,0703021Q0BHAAAA,Zelleta_Tab 75mcg,Zelleta,Tab,75mcg,Desogestrel,1195.93,285,4.196245614035088,0703021Q0AAAAAA,Desogestrel_Tab 75mcg,Desogestrel,Tab,75mcg,Desogestrel,25150.01,7415,3.391774780849629,0.8044708331854591
090402000A0,090402000BBRMA0,Fresubin 2kcal_Drink (6 Flav),Fresubin 2kcal,Drink,(6 Flav),Enteral Nutrition,17961.3,285,63.02210526315789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140400030AF,140400030BDAAAF,VAQTA_Vac Paed 50u/ml 0.5ml Pfs,VAQTA,Vac,Paed 50u/ml 0.5ml Pfs,Hepatitis A,4186.16,284,14.74,140400030AAAFAF,Hepat A_Vac 50u/ml 0.5ml Pfs,Hepat A,Vac,50u/ml 0.5ml Pfs,Hepatitis A,29.48,2,14.74,0
1106000ABAA,1106000ABBBAAAA,Cosopt_Eye Dps 20mg/ml / 5mg/ml,Cosopt,Eye,Dps 20mg/ml / 5mg/ml,Dorzolamide & Timolol,4221,283,14.915194346289752,1106000ABAAAAAA,Dorzolamide/Timolol_Eye Dps 20mg/5mg/ml,Dorzolamide/Timolol,Eye,Dps 20mg/5mg/ml,Dorzolamide & Timolol,4422.52,1814,2.4379933847850057,12.477200961504746
1304000Y0BA,1304000Y0BBABBA,Elocon_Oint 0.1%,Elocon,Oint,0.1%,Mometasone Furoate,2458.04,283,8.68565371024735,1304000Y0AABABA,Mometasone Fur_Oint 0.1%,Mometasone Fur,Oint,0.1%,Mometasone Furoate,9413.95,1586,5.935655737704918,2.749997972542431
0407010F0AF,0407010F0BGAAAF,Solpadol_Tab Eff 30mg/500mg,Solpadol,Tab,Eff 30mg/500mg,Co-Codamol (Codeine Phos/Paracetamol),3747.01,278,13.478453237410072,0407010F0AAAFAF,Co-Codamol Eff_Tab 30mg/500mg,Co-Codamol Eff,Tab,30mg/500mg,Co-Codamol (Codeine Phos/Paracetamol),19807.45,2098,9.441110581506196,4.037342655903876
1304000F0BD,1304000F0BBAJBD,Betnovate_Scalp Applic 0.1%,Betnovate,Scalp,Applic 0.1%,Betamethasone Valerate,1681.63,278,6.0490287769784175,1304000F0AABDBD,Betameth Val_Scalp Applic 0.1%,Betameth Val,Scalp,Applic 0.1%,Betamethasone Valerate,6780,1615,4.198142414860681,1.8508863621177367
0206020C0AT,0206020C0BJAAAT,Angitil SR 90_Cap 90mg,Angitil SR 90,Cap,90mg,Diltiazem Hydrochloride,2016.16,276,7.304927536231884,0206020C0AAATAT,Diltiazem HCl_Cap 90mg M/R,Diltiazem HCl,Cap,90mg M/R,Diltiazem Hydrochloride,1641.84,239,6.869623430962343,0.435304105269541
090900000A0,090900000BBKRA0,Similac Alimentum_Pdr,Similac Alimentum,Pdr,NA,Other Food Preps,14469,274,52.806569343065696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0107020J0AG,0107020J0BGAAAG,Xyloproct_Oint 5%/0.275%,Xyloproct,Oint,5%/0.275%,Hydrocortisone,1416.22,273,5.187619047619048,0107020J0AAAGAG,Lido/Hydrocort Acet_Oint 5%/0.275%,Lido/Hydrocort Acet,Oint,5%/0.275%,Hydrocortisone,532.13,100,5.3213,-0.1336809523809519
0604011G0BA,0604011G0BFABBA,Evorel 25_Patch,Evorel 25,Patch,NA,Estradiol,2154.18,272,7.919779411764705,0604011G0AABABA,Estradiol_Transdermal Patch 25mcg/24hrs,Estradiol,Transdermal,Patch 25mcg/24hrs,Estradiol,614.33,65,9.45123076923077,-1.5314513574660653
0101021B0AH,0101021B0BEACAH,Gaviscon_Liq Orig Aniseed Relief,Gaviscon,Liq,Orig Aniseed Relief,Alginic Acid Compound Preparations,1979.28,271,7.3036162361623616,0101021B0AAAHAH,Alginate_Raft-Forming Oral Susp S/F,Alginate,Raft-Forming,Oral Susp S/F,Alginic Acid Compound Preparations,1010.63,350,2.887514285714286,4.416101950448075
1502010J0BR,1502010J0BDABBR,Instillagel_Gel 11ml Pfs,Instillagel,Gel,11ml Pfs,Lidocaine Hydrochloride,3133.21,271,11.561660516605166,1502010J0AABRBR,Lido HCl 2%/Chlorhex_Gel 11ml Pfs,Lido HCl 2%/Chlorhex,Gel,11ml Pfs,Lidocaine Hydrochloride,239.55,12,19.962500000000002,-8.400839483394837
0103050L0AH,0103050L0BBAEAH,Zoton_FasTab Tab 30mg,Zoton,FasTab,Tab 30mg,Lansoprazole,2060.39,270,7.631074074074074,0103050L0AAAHAH,Lansoprazole_Orodisper Tab 30mg,Lansoprazole,Orodisper,Tab 30mg,Lansoprazole,12983,2797,4.6417590275294955,2.9893150465445784
0409010K0AF,0409010K0BBANAF,Madopar CR_Cap,Madopar CR,Cap,NA,Co-Beneldopa (Benserazide/Levodopa),1363.76,268,5.08865671641791,0409010K0AAAFAF,Co-Beneldopa_Cap 25mg/100mg M/R,Co-Beneldopa,Cap,25mg/100mg M/R,Co-Beneldopa (Benserazide/Levodopa),1640.66,308,5.326818181818182,-0.23816146540027194
0704010U0AA,0704010U0BIABAA,Pamsvax XL_Cap 400mcg (Almus),Pamsvax XL,Cap,400mcg (Almus),Tamsulosin Hydrochloride,313.96000000000004,268,1.171492537313433,0704010U0AAAAAA,Tamsulosin HCl_Cap 400mcg M/R,Tamsulosin HCl,Cap,400mcg M/R,Tamsulosin Hydrochloride,119633.21,29147,4.104477647785364,-2.932985110471931
0206020R0AM,0206020R0BGABAM,Coracten SR_Cap 10mg,Coracten SR,Cap,10mg,Nifedipine,1178.8700000000001,266,4.431842105263159,0206020R0AAAMAM,Nifedipine_Cap 10mg M/R,Nifedipine,Cap,10mg M/R,Nifedipine,654.24,168,3.894285714285714,0.5375563909774446
0703010E0AE,0703010E0BGAAAE,Evra_Patch,Evra,Patch,NA,Combined Ethinylestradiol 20mcg,7018.9800000000005,266,26.38714285714286,0703010E0AAAEAE,Ethinylestr/Norelgest_24 Hr T/Derm Patch,Ethinylestr/Norelgest,24,Hr T/Derm Patch,Combined Ethinylestradiol 20mcg,2085.38,78,26.735641025641026,-0.3484981684981676
0301020Q0AA,0301020Q0BBAAAA,Spiriva_Pdr For Inh Cap 18mcg+HandiHaler,Spiriva,Pdr,For Inh Cap 18mcg+HandiHaler,Tiotropium,10321.519999999999,264,39.096666666666664,0301020Q0AAAAAA,Tiotropium_Pdr For Inh Cap 18mcg + Dev,Tiotropium,Pdr,For Inh Cap 18mcg + Dev,Tiotropium,39856.409999999996,986,40.422322515212976,-1.3256558485463117
0206020T0AU,0206020T0BDAGAU,Half Securon SR_Tab 120mg,Half Securon SR,Tab,120mg,Verapamil Hydrochloride,3165.0099999999998,263,12.034258555133079,0206020T0AAAUAU,Verapamil HCl_Tab 120mg M/R,Verapamil HCl,Tab,120mg M/R,Verapamil Hydrochloride,5258.67,453,11.608543046357616,0.42571550877546294
0601011A0AD,0601011A0BBAFAD,Ins NovoRapid_PumpCart 100u/ml 1.6mlCart,Ins NovoRapid,PumpCart,100u/ml 1.6mlCart,Insulin Aspart,12275.699999999999,263,46.67566539923954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0604011P0AB,0604011P0BBAAAB,Premarin_Tab 625mcg,Premarin,Tab,625mcg,Oestrogens Conjugated,1103.17,263,4.194562737642586,0604011P0AAABAB,Oestro Conj_Tab 625mcg,Oestro Conj,Tab,625mcg,Oestrogens Conjugated,444.16999999999996,134,3.314701492537313,0.8798612451052725
0704010U0AA,0704010U0BFAAAA,Tabphyn MR_Cap 400mcg (Kyowa),Tabphyn MR,Cap,400mcg (Kyowa),Tamsulosin Hydrochloride,1208.3999999999999,263,4.594676806083649,0704010U0AAAAAA,Tamsulosin HCl_Cap 400mcg M/R,Tamsulosin HCl,Cap,400mcg M/R,Tamsulosin Hydrochloride,119633.21,29147,4.104477647785364,0.4901991582982852
0902012H0AE,0902012H0BBAEAE,Dioralyte_Pdr Sach (Natur),Dioralyte,Pdr,Sach (Natur),Oral Rehydration Salts,2839.24,263,10.795589353612167,0902012H0AAAEAE,Gppe Pdr Sach_Dioralyte,Gppe Pdr Sach,Dioralyte,NA,Oral Rehydration Salts,116.47,13,8.95923076923077,1.8363585843813972
1202010I0AF,1202010I0BBAEAF,Rhinocort Aqua 64_Nsl P/Spy 64mcg (120D),Rhinocort Aqua 64,Nsl,P/Spy 64mcg (120D),Budesonide,1153.62,263,4.3863878326996195,1202010I0AAAFAF,Budesonide_Aq Nsl Spy 64mcg (120 D),Budesonide,Aq,Nsl Spy 64mcg (120 D),Budesonide,1421.46,253,5.618418972332016,-1.2320311396323964
130201100AG,130201100BBAGAG,Balneum Plus_Bath Oil,Balneum Plus,Bath,Oil,Emollient Bath & Shower Preparations,2144.52,263,8.15406844106464,130201100AAAGAG,SoyaOil/Lauromacrogols_BathOil 82.95/15%,SoyaOil/Lauromacrogols,BathOil,82.95/15%,Emollient Bath & Shower Preparations,146.52,15,9.768,-1.613931558935361
0703010E0AB,0703010E0BIAAAB,Gedarel_Tab 20/150mcg,Gedarel,Tab,20/150mcg,Combined Ethinylestradiol 20mcg,2117.16,261,8.111724137931034,0703010E0AAABAB,Ethinylest/Desogestrel_Tab 20mcg/150mcg,Ethinylest/Desogestrel,Tab,20mcg/150mcg,Combined Ethinylestradiol 20mcg,208.28,24,8.678333333333333,-0.5666091954022985
090607000AG,090607000BBAZAG,Dalivit_Dps,Dalivit,Dps,NA,Other Multivitamin Preps,2364.92,261,9.060996168582376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0206020T0AH,0206020T0BDAEAH,Securon SR_Tab 240mg,Securon SR,Tab,240mg,Verapamil Hydrochloride,2091.1,259,8.073745173745174,0206020T0AAAHAH,Verapamil HCl_Tab 240mg M/R,Verapamil HCl,Tab,240mg M/R,Verapamil Hydrochloride,4435.13,609,7.28264367816092,0.7911014955842539
0302000C0BG,0302000C0BJAEBG,Qvar 50 E-Breathe_Inha 50mcg (200 D),Qvar 50 E-Breathe,Inha,50mcg (200 D),Beclometasone Dipropionate,2360.7,259,9.114671814671814,0302000C0AABGBG,Beclomet Diprop_Inha B/A 50mcg(200 D)CFF,Beclomet Diprop,Inha,B/A 50mcg(200 D)CFF,Beclometasone Dipropionate,55.09,5,11.018,-1.9033281853281867
0407020A0AF,0407020A0BEACAF,Matrifen_Patch 50mcg/hr,Matrifen,Patch,50mcg/hr,Fentanyl,9335.67,259,36.04505791505792,0407020A0AAAFAF,Fentanyl_Transdermal Patch 50mcg/hr,Fentanyl,Transdermal,Patch 50mcg/hr,Fentanyl,7858.3499999999995,153,51.36176470588235,-15.316706790824433
0601060D0A0,0601060D0BQACA0,GlucoMen LX Sensor (Reagent)_Strips,GlucoMen LX Sensor (Reagent),Strips,NA,Glucose Blood Testing Reagents,10322.8,259,39.85637065637065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106000AFAC,1106000AFBBACAC,Lumigan_Eye Dps 300mcg/ml 0.4ml Ud,Lumigan,Eye,Dps 300mcg/ml 0.4ml Ud,Bimatoprost,4577.83,258,17.743527131782944,1106000AFAAACAC,Bimatoprost_Eye Dps 300mcg/ml 0.4ml Ud,Bimatoprost,Eye,Dps 300mcg/ml 0.4ml Ud,Bimatoprost,14799.57,807,18.33899628252788,-0.5954691507449361
090402000A0,090402000BBZIA0,Aymes Shake_Pdr Sach 57g (Sbery),Aymes Shake,Pdr,Sach 57g (Sbery),Enteral Nutrition,3989.4,257,15.52295719844358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0601060D0A0,0601060D0CIABA0,WaveSense JAZZ Duo (Reagent)_Strips,WaveSense JAZZ Duo (Reagent),Strips,NA,Glucose Blood Testing Reagents,3766.94,256,14.714609375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0206020R0AH,0206020R0BGAAAH,Coracten SR_Cap 20mg,Coracten SR,Cap,20mg,Nifedipine,1433.9,255,5.623137254901961,0206020R0AAAHAH,Nifedipine_Cap 20mg M/R,Nifedipine,Cap,20mg M/R,Nifedipine,738.0600000000001,125,5.90448,-0.2813427450980397
0407041A0AG,0407041A0BBABAG,Migraleve_Pink Tab,Migraleve,Pink,Tab,Analgesics with Anti-Emetics,1531.49,255,6.005843137254902,0407041A0AAAGAG,Gppe Tab_Migraleve Pink,Gppe Tab,Migraleve,Pink,Analgesics with Anti-Emetics,6.08,1,6.08,-0.07415686274509792
130201000CA,130201000BBLACA,Doublebase_Dayleve gel,Doublebase,Dayleve,gel,Other Emollient Preps,1848.74,254,7.278503937007874,130201000AACACA,Liq Paraf/Isopropyl Myrist_Gel 15%/15%,Liq Paraf/Isopropyl Myrist,Gel,15%/15%,Other Emollient Preps,2958.99,439,6.740296127562642,0.5382078094452316
0301011U0AH,0301011U0BBAFAH,Serevent_Evohaler 25mcg (120 D),Serevent,Evohaler,25mcg (120 D),Salmeterol,8836.52,249,35.48803212851406,0301011U0AAAHAH,Salmeterol_Inha 25mcg (120 D) CFF,Salmeterol,Inha,25mcg (120 D) CFF,Salmeterol,41754.020000000004,1147,36.402807323452485,-0.9147751949384286
0601012S0AI,0601012S0BDAMAI,Ins Innolet Insulat_100u/ml 3ml Pf Pen,Ins Innolet Insulat,100u/ml,3ml Pf Pen,Isophane Insulin,6377.04,249,25.610602409638553,0601012S0AAAIAI,Ins Isop_Inj (Hum) 100u/ml 3ml Pf Pen,Ins Isop,Inj,(Hum) 100u/ml 3ml Pf Pen,Isophane Insulin,43.4,2,21.7,3.910602409638553
0803042K0AA,0803042K0BBAAAA,Zoladex_Implant 3.6mg SafeSystem Pfs,Zoladex,Implant,3.6mg SafeSystem Pfs,Goserelin Acetate,17095,249,68.65461847389558,0803042K0AAAAAA,Goserelin Acet_Implant 3.6mg Pfs,Goserelin Acet,Implant,3.6mg Pfs,Goserelin Acetate,9685,144,67.25694444444444,1.3976740294511387
090402000A0,090402000BBTQA0,Aptamil_Pepti 2 Pdr,Aptamil,Pepti,2 Pdr,Enteral Nutrition,14557.27,248,58.698669354838714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1104020Z0AA,1104020Z0BBAAAA,Opatanol_Eye Dps 1mg/ml,Opatanol,Eye,Dps 1mg/ml,Olopatadine,1544.3999999999999,247,6.252631578947367,1104020Z0AAAAAA,Olopatadine_Eye Dps 1mg/ml,Olopatadine,Eye,Dps 1mg/ml,Olopatadine,3903.12,645,6.051348837209302,0.2012827417380656
1304000D0BD,1304000D0BCABBD,Diprosalic_Scalp Applic 0.05%/2%,Diprosalic,Scalp,Applic 0.05%/2%,Betamethasone Esters,2999.7,247,12.144534412955466,1304000D0AABDBD,Betameth/Salic Acid_Scalp Applic 0.05/2%,Betameth/Salic Acid,Scalp,Applic 0.05/2%,Betamethasone Esters,1343.17,109,12.322660550458716,-0.17812613750325035
0409010K0AE,0409010K0BBAJAE,Madopar_Tab Disper 50mg/12.5mg,Madopar,Tab,Disper 50mg/12.5mg,Co-Beneldopa (Benserazide/Levodopa),1119.5,246,4.550813008130081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0604011L0AK,0604011L0BIAAAK,Kliofem_Tab,Kliofem,Tab,NA,Estradiol with Progestogen,3105.15,243,12.778395061728395,0604011L0AAAKAK,Estradiol/Norethist Acet_Tab 2mg/1mg,Estradiol/Norethist Acet,Tab,2mg/1mg,Estradiol with Progestogen,465.21,25,18.6084,-5.830004938271605
1104010R0AA,1104010R0BBAAAA,Pred Fte_Eye Dps 1%,Pred Fte,Eye,Dps 1%,Prednisolone Acetate,690.42,243,2.8412345679012345,1104010R0AAAAAA,Prednisolone Acet_Eye Dps 1%,Prednisolone Acet,Eye,Dps 1%,Prednisolone Acetate,435.22,147,2.960680272108844,-0.11944570420760936
0301011R0CA,0301011R0BWABCA,Easyhaler_Salbutamol Sulf 200mcg (200D),Easyhaler,Salbutamol,Sulf 200mcg (200D),Salbutamol,1876.29,241,7.785435684647303,0301011R0AACACA,Salbutamol_Pdr For Inh 200mcg (200 D),Salbutamol,Pdr,For Inh 200mcg (200 D),Salbutamol,139.23,14,9.944999999999999,-2.1595643153526956
090402000A0,090402000BBRBA0,Complan_Shake Pdr Sach 57g (Banana),Complan,Shake,Pdr Sach 57g (Banana),Enteral Nutrition,5043.5,241,20.92738589211618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1306010Y0AB,1306010Y0BBABAB,Duac_Once Daily Gel (3% and 1%),Duac,Once,Daily Gel (3% and 1%),Benzoyl Peroxide & Clindamycin Phosphate,4073.4,240,16.9725,1306010Y0AAABAB,Benzoyl Per/Clindamycin Phos_Gel 3%/1%,Benzoyl Per/Clindamycin Phos,Gel,3%/1%,Benzoyl Peroxide & Clindamycin Phosphate,7318.9800000000005,431,16.981392111368912,-0.00889211136891177
0109040N0AW,0109040N0BDAFAW,Creon 40000_Cap E/C,Creon 40000,Cap,E/C,Pancreatin,23114.07,239,96.711589958159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0301030S0AR,0301030S0BKAAAR,Uniphyllin Continus_Tab 400mg,Uniphyllin Continus,Tab,400mg,Theophylline,1115.8400000000001,239,4.668786610878661,0301030S0AAARAR,Theophylline_Tab 400mg M/R,Theophylline,Tab,400mg M/R,Theophylline,116.24000000000001,15,7.749333333333334,-3.080546722454673
0409010N0AE,0409010N0BBAEAE,Sinemet CR_Tab 250mg,Sinemet CR,Tab,250mg,Co-Careldopa (Carbidopa/Levodopa),1621.43,238,6.812731092436975,0409010N0AAAEAE,Co-Careldopa_Tab 50mg/200mg M/R,Co-Careldopa,Tab,50mg/200mg M/R,Co-Careldopa (Carbidopa/Levodopa),1112.6299999999999,159,6.997672955974842,-0.18494186353786723
0906040G0BZ,0906040G0BSAABZ,Calfovit D3_Pdr Sach 3.1g/800u,Calfovit D3,Pdr,Sach 3.1g/800u,Colecalciferol,1030.6,238,4.330252100840336,0906040G0AABZBZ,Colecal + Calc Phos_Pdr Sach 800u/3.1g,Colecal + Calc Phos,Pdr,Sach 800u/3.1g,Colecalciferol,432.56,95,4.553263157894737,-0.22301105705440083
1106000AIAB,1106000AIBBABAB,Ganfort_Eye Dps 300mcg/5mg 0.4ml Ud,Ganfort,Eye,Dps 300mcg/5mg 0.4ml Ud,Timolol & Bimatoprost,5423.860000000001,237,22.885485232067513,1106000AIAAABAB,Bimatoprost/Timolol_EyeDps300mcg/5mg 0.4,Bimatoprost/Timolol,EyeDps300mcg/5mg,0.4,Timolol & Bimatoprost,5438.81,248,21.93068548387097,0.9547997481965425
0106010E0AN,0106010E0BBACAN,Fybogel_Gran Sach 3.5g Lem G/F S/F,Fybogel,Gran,Sach 3.5g Lem G/F S/F,Ispaghula Husk,1121.25,235,4.7712765957446805,0106010E0AAANAN,Ispag Husk_Gran Eff Sach 3.5g Lem S/F,Ispag Husk,Gran,Eff Sach 3.5g Lem S/F,Ispaghula Husk,82.81,11,7.528181818181818,-2.7569052224371378
0604011L0BL,0604011L0BKAEBL,Femoston-conti_Tab 0.5mg/2.5mg,Femoston-conti,Tab,0.5mg/2.5mg,Estradiol with Progestogen,6225.57,235,26.49178723404255,0604011L0AABLBL,Estradiol/Dydrogesterone_Tab500mcg/2.5mg,Estradiol/Dydrogesterone,Tab500mcg/2.5mg,NA,Estradiol with Progestogen,474.35,19,24.96578947368421,1.5259977603583401
0407020ADAR,0407020ADBEAHAR,Longtec_Tab 30mg M/R,Longtec,Tab,30mg M/R,Oxycodone Hydrochloride,7298.9,234,31.191880341880342,0407020ADAAARAR,Oxycodone HCl_Tab 30mg M/R,Oxycodone HCl,Tab,30mg M/R,Oxycodone Hydrochloride,6201.97,98,63.28540816326531,-32.09352782138497
0407020B0AI,0407020B0BEABAI,BuTrans_Transdermal Patch 10mcg/hr,BuTrans,Transdermal,Patch 10mcg/hr,Buprenorphine,7461.43,234,31.88645299145299,0407020B0AAAIAI,Buprenorphine_Patch 10mcg/hr (7day),Buprenorphine,Patch,10mcg/hr (7day),Buprenorphine,21028.24,673,31.24552748885587,0.6409255025971206
0601012S0AL,0601012S0BGADAL,Ins Humulin I_100u/ml 3ml Cart,Ins Humulin I,100u/ml,3ml Cart,Isophane Insulin,6418.51,234,27.429529914529915,0601012S0AAALAL,Ins Isop_Inj (Hum) 100u/ml 3ml Cart,Ins Isop,Inj,(Hum) 100u/ml 3ml Cart,Isophane Insulin,95.39999999999999,2,47.699999999999996,-20.27047008547008
0407020ADAA,0407020ADBBAAAA,OxyNorm_Oral Soln 5mg/5ml S/F,OxyNorm,Oral,Soln 5mg/5ml S/F,Oxycodone Hydrochloride,3790.19,233,16.266909871244636,0407020ADAAAAAA,Oxycodone HCl_Oral Soln 5mg/5ml S/F,Oxycodone HCl,Oral,Soln 5mg/5ml S/F,Oxycodone Hydrochloride,10126.7,750,13.502266666666667,2.7646432045779683
0501030L0AB,0501030L0BBABAB,Tetralysal 300_Cap,Tetralysal 300,Cap,NA,Lymecycline,2278.43,233,9.778669527896994,0501030L0AAABAB,Lymecycline_Cap 408mg,Lymecycline,Cap,408mg,Lymecycline,27952.58,4113,6.7961536591295895,2.982515868767405
0407020Q0CF,0407020Q0BBALCF,MST Continus_Tab 15mg,MST Continus,Tab,15mg,Morphine Sulfate,2051.79,231,8.882207792207792,0407020Q0AACFCF,Morph Sulf_Tab 15mg M/R,Morph Sulf,Tab,15mg M/R,Morphine Sulfate,1230.6299999999999,161,7.643664596273291,1.2385431959345006
0601023Y0AD,0601023Y0BCABAD,Bydureon_Inj 2mg Pdr + Dil Pf Pen P/R,Bydureon,Inj,2mg Pdr + Dil Pf Pen P/R,Exenatide,18211.62,231,78.83818181818181,0601023Y0AAADAD,Exenatide_Inj 2mg Pdr + Dil PF Dev P/R,Exenatide,Inj,2mg Pdr + Dil PF Dev P/R,Exenatide,15772.4,191,82.57801047120418,-3.7398286530223714
0103050P0AA,0103050P0BBAAAA,Losec_Cap E/C 20mg,Losec,Cap,E/C 20mg,Omeprazole,6863.77,229,29.97279475982533,0103050P0AAAAAA,Omeprazole_Cap E/C 20mg,Omeprazole,Cap,E/C 20mg,Omeprazole,96867.14,105620,0.9171287634917629,29.055665996333566
0301020I0AN,0301020I0BBAJAN,Atrovent_Inha 20mcg (200 D) CFF,Atrovent,Inha,20mcg (200 D) CFF,Ipratropium Bromide,1540.12,229,6.725414847161572,0301020I0AAANAN,Ipratrop Brom_Inha 20mcg (200 D) CFF,Ipratrop Brom,Inha,20mcg (200 D) CFF,Ipratropium Bromide,7589.4,1086,6.988397790055248,-0.2629829428936761
0407020B0AH,0407020B0BEAAAH,BuTrans_Transdermal Patch 5mcg/hr,BuTrans,Transdermal,Patch 5mcg/hr,Buprenorphine,4109.6,227,18.103964757709253,0407020B0AAAHAH,Buprenorphine_Patch 5mcg/hr (7day),Buprenorphine,Patch,5mcg/hr (7day),Buprenorphine,13442,751,17.898801597869507,0.20516315983974565
0302000K0AG,0302000K0BBAHAG,Pulmicort_Turbohaler 200mcg (100 D),Pulmicort,Turbohaler,200mcg (100 D),Budesonide,4260.75,226,18.85287610619469,0302000K0AAAGAG,Budesonide_Pdr For Inh 200mcg (100 D),Budesonide,Pdr,For Inh 200mcg (100 D),Budesonide,4574.25,230,19.88804347826087,-1.03516737206618
0407010F0AH,0407010F0BGABAH,Solpadol_Capl 30mg/500mg,Solpadol,Capl,30mg/500mg,Co-Codamol (Codeine Phos/Paracetamol),2207.53,226,9.76783185840708,0407010F0AAAHAH,Co-Codamol_Tab 30mg/500mg,Co-Codamol,Tab,30mg/500mg,Co-Codamol (Codeine Phos/Paracetamol),66050.44,19474,3.3917243504159393,6.37610750799114
0906040G0BH,0906040G0BIABBH,Pro D3_Cap 1 000u,Pro D3,Cap,1 000u,Colecalciferol,1793.28,226,7.934867256637168,0906040G0AABHBH,Colecal_Cap 1 000u,Colecal,Cap,1 000u,Colecalciferol,2850.95,713,3.998527349228611,3.936339907408557
0106040M0AB,0106040M0BBAJAB,Movicol_Paed Pdr Sach 6.9g (Choc),Movicol,Paed,Pdr Sach 6.9g (Choc),Macrogol 3350,1667.21,224,7.442901785714286,0106040M0AAABAB,Macrogol_Co Oral Pdr Sach H/Strgh6.9gS/F,Macrogol,Co,Oral Pdr Sach H/Strgh6.9gS/F,Macrogol 3350,569.8100000000001,112,5.087589285714286,2.3553124999999993
0402010ABAX,0402010ABBHADAX,Zaluron XL_Tab 300mg,Zaluron XL,Tab,300mg,Quetiapine,7421.4,224,33.13125,0402010ABAAAXAX,Quetiapine_Tab 300mg M/R,Quetiapine,Tab,300mg M/R,Quetiapine,15288.42,221,69.17837104072399,-36.04712104072399
0407020A0AU,0407020A0BQAAAU,Fencino_Transdermal Patch 12mcg/hr,Fencino,Transdermal,Patch 12mcg/hr,Fentanyl,3453.38,222,15.555765765765766,0407020A0AAAUAU,Fentanyl_Transdermal Patch 12mcg/hr,Fentanyl,Transdermal,Patch 12mcg/hr,Fentanyl,5286.11,276,19.152572463768117,-3.59680669800235
091000000A0,091000000BBPPA0,Valupak_Multivit & Mineral Tab OAD,Valupak,Multivit,& Mineral Tab OAD,Other Comp Vit/Mineral Formulation Preps,171.74,221,0.7771040723981901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
